chr1	207482046   macro
chr2	160154010   macro
chr3	121451290   macro
chr4	80154792    macro
chr5	69322033    macro
chr6	41754609    macro
chr7	42955362    macro
chr8	40153886    macro
chr9	29481418    micro
chr10	25454967    micro
chr11	25380314    micro
chr12	24517082    micro
chr13	25903515    micro
chr14	24348353    micro
chr15	20289824    micro
chr16	17860184    micro
chr17	6120786 dot
chr18	14624966    micro
chr19	16010337    micro
chr20	14449403    micro
chr21	18792761    micro
chr22	11178707    micro
chr23	7914574 micro
chr24	9865985 micro
chr25	10152022    micro
chr26	6107639 dot
chr27	9411441 micro
chr28	9268382 micro
chr29	8851385 micro
chr30	6798920 dot
chr31	6328656 dot
chr33	10137796    dot
chr32	6519831 dot
chrW	16023107    micro
chrZ	86241827    macro
chr34	6270034 dot
chr35	5248182 dot
chr36	5182351 dot
chr37	4644427 dot
chr38	4516906 dot
chr39	4645716 dot
MT	16604   mitochondrion
