chr1	197518697   macro
chr2	97069655    macro
chr2a	52355977    macro
chr3	111382487   macro
chr4	72274759    macro
chr4a	19703777    micro
chr5	60045831    macro
chr6	36750196    macro
chr7	38130505    macro
chr8	29734180    macro
chr9	24360533    micro
chr10	20098049    micro
chr11	20148114    micro
chr12	20554283    micro
chr13	18371305    micro
chr14	15813834    micro
chr15	12880244    micro
chr16	4635107 dot
chr17	10683668    micro
chr18	11165486    micro
chr19	10254928    micro
chr20	14769859    micro
chr21	7395263    micro
chr22	5238598    micro
chr23	6329450    micro
chr24	6998171    micro
chr25	4333315 micro
chr26	5993407    micro
chr27	6242315    micro
chr28	5598071    micro
chr29	3502937 dot
chr30	2072914 dot
chr31	2403616 dot
chr32	2803648 dot
chr33	3483576 micro
chr34	2037437 dot
chr35	1948697 dot
chr36	1648180 dot
chr37	1903434 dot
chr38	2229093 dot
chrZ	81201840    macro
chrW	12857328    dot
