Chr	Length	Group
chr1	200044509	macro
chr2	152127819	macro
chr3	112377238	macro
chr4	91364047	macro
chr5	59473047	macro
chr6	36158469	macro
chr7	36439816	macro
chr8	29594148	macro
chr9	23966833	macro
chr10	21606253	micro
chr11	19822308	micro
chr12	20591337	micro
chr13	19253982	micro
chr14	16259740	micro
chr15	13529386	micro
chr17	11322113	micro
chr18	12199395	micro
chr19	11295715	micro
chr20	15361164	micro
chr21	7106554	micro
chr22	5772503	micro
chr23	6970121	micro
chr24	8591846	micro
chr25	4095597	micro
chr26	6534586	micro
chr27	6322964	micro
chr28	5942585	micro
chr33	4180360	micro
chrW	14151827	micro
chrZ	87735852	macro
chr16	4932503	microdot
chr29	6839231	microdot
chr30	3643476	microdot
chr31	5478923	microdot
chr32	3130476	microdot
chr34	4011625	microdot
chr35	3056416	microdot
chr36	3424470	microdot
chr37	2501204	microdot
chr38	3700872	microdot
